#,Name,Address,Atoll,Island,District,Rooms,Beds,Phone,Fax,Email,Website,Operator,Owner/Lesse
13,Al-Hub,"Asaa, Abadhah Hiyaa Magu",Alifu Alifu,Feridhoo,,7,14,7958999 / 7690084,,info@asaaview.com,,"Al-Hub (SP)
Fathimath Leeza
Ma. City Villa
Nikagas Higun
Male', Republic of Maldives","Saana Ahmed 
Asaa
Feridhoo, Alifu Alifu Atoll
Republic of Maldives"
14,Ala Fehi Retreat,"Maadhadu, Maadhadige",Gnaviyani,Fuvahmulah,,3,6,7778700,,modi.mohamed@gmail.com,,"Mohamed Ibrahim Didi 
Maadhadu, Vidhuvaruge
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Aminath Ibrahim Didi 
Maadhadu. Maadhadige
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives"
15,Alaika Maafushi,"Falaku, Noonu",Kaafu,Maafushi,,11,22,7791133,,alaila.pvt@gmail.com,alaikamaafushi.com,"Alaila Pvt Ltd 
M. Honey Season
Male', Republic of Maldives","1. Ibrahim Shareef 
Falak
K. Maafushi 
Republic of Maldives
2. Mariyam Shahidha 
Venus
K. Maafushi
Republic of Maldives"
16,Ale Sara Guest (Baa),Randheli,Baa,Eydhafushi,Eydhafushi,4,8,7416222,,alesarabaa@gmail.com,,"Ahmed Musthafa
Dheydharuge
B. Eydhafushi
Republic of Maldives","Ahmed Musthafa
Dheydharuge
B. Eydhafushi
Republic of Maldives"
17,Ale Sara Guest Maldive Thoddu,"Tube Rose, Shaheedh Ali Hingun",Alifu Alifu,Thoddoo,,4,8,9506015,,hawwaanuher@gmail.com,,"Majoo Fruits (SP)
Hawwa Nuhaa 
Ferose
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","Zubaidha Hassan 
Ferose
Thoddoo, Alifu Alifu Atoll
Republic of Maldives"
18,Alimas Holiday Retreat,Alimasge,Vaavu,Felidhoo,,15,30,9959008,,contact@alimasholidayretreat.com,,"Alimas Holiday Retreat LLP (P00122020)
Alimasge
Felidhoo, Vaavu Atoll
Republic of Maldives","Amira Ibrahim (A037900)
Alimasge
Felidhoo, Vaavu Atoll
Republic of Maldives"
19,Alkina Lodge,Thousand Flower,Vaavu,Fulidhoo,,4,8,7647724 / 9797958,,silveen3150@gmail.com,,"Alkina Partners 
Thousand Flower
Vaavu Atoll, Fulidhoo
Republic of Maldives","Aminath Rasheedha 
Thousand Flower
Vaavu Atoll, Fulidhoo
Republic of Maldives"
20,Aloha Beach Inn,"Reesha Vaadee, Violet Magu",Kaafu,Himmafushi,,5,10,9807713,,axxam1990@gmail.com,,"Aloha Beach Inn (SP)
Hassan Azzam 
Reesha Vaadee
Himmafushi, Kaafu Atoll
Republic of Maldives","Abdul Razzaq Ali 
Reesha Vaadee
Himmafushi, Kaafu Atoll
Republic of Maldives"
21,Amazing View,View,Alifu Alifu,Thoddoo,,11,22,9153344,,view.thoddoo@gmail.com,www.amazingviewthoddoo.com,"Moosa Farooq
Handhuvarumatheege 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives","1. Moosa Farooq 
Handhuvarumatheege 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives 
2. Ramiza Ibrahim
Islandmaage 
Thoddoo, Alifu Alifu Atoll
Republic of Maldives"
22,Amber Beach,Hulhumale' Lot. No. 10997,Kaafu,Male',Hulhumale',20,40,7789499,,huvan.maldives@gmail.com,,"Huvan Pvt Ltd
Hulhumale' Raintree 3B 
Irudheymaa Hingun
Male', Republic of Maldives","Ahmed Riuman Afeef
Ma. Ease
Zamaanee Goalhi 
Male', Republic of Maldives"
23,Ameera Guest House,"Happy Land, Arutha",Kaafu,Dhiffushi,,10,20,9648473,,info@ameeramaldives.com,www.ameeramaldives.com,"Ameera Guest House (SP)
Ali Rasheed 
Arutha
Dhiffushi, Kaafu Atoll
Republic of Maldives","1. Ali Rasheed 
 Arutha, 
Dhiffushi, Kaafu Atoll
Republic of Maldives
2. Aminath Saara 
Arutha,
Dhiffushi, Kaafu Atoll
Republic of Maldives"
24,Amina Residency,H. Feyrugasdhoshuge,Kaafu,Male',Henveiru,4,8,3349090,3344884,info@amina.com.mv; aminath@falim.com.mv,,"Falim Group Pvt. Ltd. 
H. Nereen, 
Majeedhee Magu
Male', Republic of Maldives","1. Khalid Waheed , H. Feyrugasdhoshuge, Male', Republic of Maldives  
2. Legal Heirs of Late Mohamed Waheed :
Mohamed Musthafa , H. Feyrugasdhoshuge, Male', Republic of Maldives
Adeela Mohamed Waheed, H. Benina, Male', Republic of Maldives
Athiyya Mohamed Waheed, H. Down Flake, Male', Republic of Maldives
Aishath Sudha, H. Feyrugasdhoshuge, Male', Republic of Maldives
Aminath Ibrahim Manik, M. Bagufadihge, Male', Republic of Maldives"
25,Anfradora Lodge at V. Keyodhoo,"Hudhu Asurumaage, Bandahajehi Magu",Vaavu,Keyodhoo,,10,20,7409794,,anfradoralodge@gmail.com,,"Anfradora (SP)
Ali Rasheed (A127195)
Noorange
Keyodhoo, Vaavu Atoll
Republic of Maldives","Naseema Mohamed 
Maaujaalaage
Keyodhoo, Vaavu Atoll
Republic of Maldives"
26,Antares Dhangethi,"Aakaash, Beach Road",Alifu Dhaalu,Dhangethi,,13,26,"7773128
9459191",,antaresdhangethi@gmail.com,,"Souvenir Dhangethi (SP)
Fathimath Faariha 
Roashaneege
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Abdulla Rasheed 
H. Thanbee Aage
Male'
Republic of Maldives"
27,Aqua Blu Thoddoo,Nanreethige,Alifu Alifu,Thoddoo,,5,10,7902029,,bluescape.mv@gmail.com,,"Blu Escape Maldives 
Nooali
Thoddoo, Alif Alifu Atoll
Republic of Maldives","1. Mohamed Adam
Nanreethige
Chaandhanee Magu
Thoddoo, Alif Alifu Atoll
Republic of Maldives
2. Ibrahim Adam 
Nanreethige
Chaandhanee Magu
Thoddoo, Alif Alifu Atoll
Republic of Maldives"
28,Aqua Inn,"Thiari, Marine Drive",Lhaviyani,Naifaru,,4,8,7789330,7852299,kanmathee@gmail.com,,"Seyboa (SP)
Mohamed Ahmed Fulhu 
Kanmatheege No 2 
Naifaru, Lhaviyani Atoll
Republic of Maldives","Abdul Gafoor Ibrahim 
Hafla
Naifaru, Lhaviyani Atoll
Republic of Maldives"
29,Aqua Sunset,"Neel Villa, Gul'alaa Magu",Kaafu,Gulhi,,6,12,7776931,,aquaholdingsmv@gmail.com,,"Aqua Holdings Private Limited 
M. Rosy Side
Jambu Magu
Male', Republic of Maldives","Muslima Saeed 
Neel Villa
Gulhi, Kaafu Atoll
Republic of Maldives"
30,Aquavilla by Aquaholic,"1. Vega, 2. Kuredhimaage, Fenboa Magu",Haa Alifu,Vashafaru,,3,6,7788088,,info@aquaholicmaldives.com,www.aquaholicmaldives.com,"Aquaholic Maldives Private Limited 
G. Vashafaru
Lonuziyaarai Magu
Male', Republic of Maldives","Owner of Vega and Kuredhimaage
Abdul Hakeem Moosa 
G. Sindhu
Male', Republic of Maldives"
31,Aquzz Inn,"Marvel, Haveeree Hingun",Kaafu,Maafushi,,20,40,7876366,,"raaif@resortlifemaldives.com
sales@theaquzz.com",,"Aquzz Pvt Ltd 
Hulhumale', Lot No. 10051
Dhiggaamagu 
Male', Republic of Maldives","Madheeha Hameed                 
Musthareege, 
Maafushi, Kaafu Atoll
Rep. of Maldives"
32,Araam View,Hulhumale' Lot. No. 10788,Kaafu,Male',Hulhumale',14,28,3349807 / 7771326,,faunuenterprises@gmail.com,,"Faunu Enterprises Pvt Ltd 
M. Kurimaa, 1st Floor
Sabudheli Magu
Male', Republic of Maldives","Nafeesa Ahmed 
M. Kurimaa
Male', Republic of Maldives"
33,Araamu Holidays and Spa,1. Sanoara & 2. Aseynaa,Kaafu,Dhiffushi,,32,64,"6644554
7991606
7793437",,info@araamuholidays.com,www.araamuholidays.com,"Araamu Hotels Pvt Ltd 
Sanoara
Fikuree Hingun
Dhiffushi, Kaafu Atoll
Republic of Maldives","1. Owner of Sanoara
Ibrahim Naseem 
Gulzaaruge
Dhiffushi, Kaafu Atoll
Republic of Maldives
2. Owner of Aseynaa
Adam Naseem 
Aseynaa
Dhiffushi, Kaafu Atoll
Republic of Maldives"
34,Arena Beach,Janavaree Villa,Kaafu,Maafushi,,16,32,7933231 / 7778599,3324959,samih@arenabeachmaldives.com,www.arenahotelsmaldives.com,"Arena Private Limited 
Julietge, Haveeree Hingun
Maafushi, Kaafu Atoll
Republic of Maldives","Khadheeja Ismail Manik 
Janavareege
Maafushi, Kaafu Atoll
Republic of Maldives"
35,Arena Fushi Seaview,Mugulas,Kaafu,Maafushi,,49,98,7778599,,samih@arenabeachmaldives.com,www.arenahotelsmaldives.com,"Arena Hotels Private Limited 
Julietge, Haveeree Hingun
Maafushi, Kaafu Atoll
Republic of Maldives","Ahmed Hameed 
Magulas, Hihfaseyha Magu
Maafushi, Kaafu Atoll
Republic of Maldives"
36,Arena Grand Beach,"1. Shine Villa 2. Shine Beach, Hiyfaseyha Magu",Kaafu,Maafushi,,28,56,"7933231
7778599",3325949,samih@arenabeachmaldives.com,www.arenahotelsmaldives.com,"Arena Pvt Ltd 
Julietge
Haveeree Hingun
Maafushi, Kaafu Atoll
Republic of Maldives","1. Owner of Shine Villa
Saniya Ali
Vaguthee Hiyaa, Maafushi, Kaafu Atoll, Republic of Maldives
2. Owner of Shine Beach
Aishath Shany Mohamed 
Vaguthee Hiyaa, Maafushi, Kaafu Atoll, Republic of Maldives"
37,Arena Veli Seaview,"Dhonveli, Hiyyfaseyha Magu",Kaafu,Maafushi,,49,98,7778599,,samih@arenabeachmaldives.com,http://www.arenabeachmaldives.com/,"Arena Enterprises Pvt Ltd
Julietge
Maafushi, Kaafu Atoll
Republic of Maldives","Fathimath Abdul Razzag 
Hulhaguge
Maafushi, Kaafu Atoll
Republic of Maldives"
38,Ari Grand,"Roma, Ujaalaa Magu",Alifu Dhaalu,Dhangethi,,14,28,9952524,,arali.pvt@outlook.com,,"Arali Pvt Ltd 
Hiya Ali, Hulhumale' Lot 11063
Nirolhu Magu
Male', Republic of Maldives","Abdul Rasheed Aboobakuru 
Vidhuvaruge
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives"
39,Ari Villa Seaview,"Fiya,Hudhaa Hingun",Alifu Alifu,Mathiveri,,4,8,7598021,,info@ari-villa.com,Ari-villa.com,"Island Trevally Pvt. Ltd. 
M. Baaranaage
Sabudheli Magu
Male', Republic of Maldives","Moosa Hassan 
Zamaaneekula
Mathiveri, Alifu Alifu Atoll 
Republic of Maldives"
40,Arianna Dhangethi,Palace,Alifu Dhaalu,Dhangethi,,10,20,9459191,,ariannamaldives@gmail.com,www.ariannadhangethi.com,"Rasheeda Mohamed 
Dhaftharu No. RS 5476
Male', Republic of Maldives","Rasheeda Mohamed 
Dhaftharu No. RS 5476
Male', Republic of Maldives"
41,Arora Inn,Heaven,Kaafu,Maafushi,,6,12,7998940,,arorainn@gmail.com,www.arorainn.com,"Inbrahim Areef 
Maavil
K.Maafushi
Republic of Maldives","1. Moosa Shujau, 
Heaven, Maafushi
Rep of Maldives
2. Safeena Mohamed 
Heaven, Maafushi
Republic of Maldives"
42,Arowana Surfs,Silver Sight,Kaafu,Huraa,,3,6,9881423,,arowanasurfs@gmail.com,,"Fathimath Jazmine 
Dhunthari 
Huraa, Kaafu Atoll
Republic of Maldives","1. Fathimath Jazmine 
Dhunthari 
Huraa, Kaafu Atoll
Republic of Maldives 
2. Abdul Sameeu Abdul Gafoor 
Lucky Star 
Huraa Kaafu Atoll 
Republic of Maldives"
43,Asia Inn,"Asia, Sosun Magu",Alifu Dhaalu,Hangnaameedhoo,,7,14,"7415310
9996632",,info@asiainn.com,,"Amir Adam
Blue Heaven
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives","Amir Adam 
Blue Heaven
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives"
44,Asseyri Guest House,"Asseyri, Waseemee Hingun",Seenu,Maradhoo Feydhoo,,11,22,9921216,,reservations@asseyriguesthouse.com,,"Akeret Pvt Ltd 
Eastern Villa, Hulhumale' Lot no. 10977 
Nirolhu Goalhi No. 17
Male', Republic of Maldives","1. Mauman Saud 
2. Muthau Saud 
Asseyri
Maradhoo Feydhoo, Seenu Atoll
Addu City, Republic of Maldives"
45,Ataraxis Grand and Spa,Jeem,Gnaviyani,Fuvahmulah,,15,30,7798390,,meenizar@gmail.com,,"Dive Dame Pvt Ltd 
Kokkiri
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives","Hassan Zareer 
Daisymaage
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives"
46,Athens View,Alivaage,Kaafu,Guraidhoo,,15,30,"7566353
7786333",,athensviewmaldives@gmail.com,,"Ibrahim Shareef 
Dhaftharu No.: 4769
Male', Republic of Maldives","Ibrahim Shihab 
Alivaage 
Guraidhoo, Kaafu Atoll
Republic of Maldives"
47,Athiri Inn Kelaa,Athireege,Haa Alifu,Kelaa,,4,8,"7440800
7718005",,holidayinnkelaa@gmail.com,,"Ahmed Shafeeq 
Fiyathoshige
Kelaa, Haa Alifu Atoll
Republic of Maldives","Ahmed Shafeeq 
Fiyathoshige
Kelaa, Haa Alifu Atoll
Republic of Maldives"
48,Athiri Veli,Kuri,Alifu Alifu,Thoddoo,,7,14,7783520,7824248,alirizaismail444@gmail.com,www.athiriveli.com.mv,"Ibrahim Moosa 
Athirige 
Thoddoo, Alif Alifu Atoll
Republic of Maldives","Ibrahim Moosa 
Athirige 
Thoddoo, Alif Alifu Atoll
Republic of Maldives"
49,Atholhu Residence,"Maahal, Usmaanee Hingun",Baa,Fehendhoo,,6,12,7422422,,hello@atholhuresidence.mv,,"Atholhu Residence (SP)
Mohamed Siraaj 
Dhaftharu No RS 14026
Male', Republic of Maldives","Abdul Sattar Ali 
Maahal
Fehendhoo, Baa Atoll
Republic of Maldives"
50,Atoll Residence Dhangethi,"Jazeera, Beach Road",Alifu Dhaalu,Dhangethi,,16,32,7917711,,info@atollresidence.com,,"Maldives Vibes Pvt Ltd 
Jazeera
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Waheedha Saud 
Jambumaage
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives"
51,Atollkey Beachvilla,Sweet Rose,Alifu Dhaalu,Dhigurah,,6,12,9752208,,info@atollkey.com,,"Atollkey Pvt Ltd 
Ma. Kokaa Avi
Dhakadhaa Magu
Male', Republic of Maldives","Suwaidha Ibrahim 
Finivaage
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives"
52,Avanti Vaadhoo,Keneree Lodge,Gaafu Dhaalu,Vaadhoo,,5,10,"9111190
9774131",,sales@avantivaadhoo.com,Avantivaadhoo.com,"Muaviyath Saeed Mohamed
Keneree Villa
Vaadhoo, Gaafu Dhaalu Atoll
Republic of Maldives","Ibrahim Saeed Mohamed 
Keneree Villa
Vaadhoo, Gaafu Dhaalu Atoll
Republic of Maldives"
53,Aveyla Manta Village,Beach Villa,Baa,Dharavandhoo,,16,32,7773996,,info@aveyla.com,www.aveyla.com,"Search Maldives Pvt Ltd 
M. Vaagali 
Male', Rep. of Maldives","Search Maldives Pvt Ltd 
M. Vaagali 
Male', Rep. of Maldives"
54,Avoca Inn,"Avoca, Hulhumale' Lot No. 11058, Nirolhu Magu 19",Kaafu,Male',Hulhumale’,25,50,"4002002
7773637",,info@avocainn.mv,www.avocainn.mv,"Maritech Management Pvt. Ltd. 
Gulisthaanuge
Feydhoo, Seenu Atoll 
Republic of Maldives","Ahmed Zuhoor 
H. Maabandeyri Aage
Male', Republic of Maldives"
55,Ayala Ocean View,Sun Flower & White Snow,Kaafu,Gulhi,,20,40,9664412/6648001,,sales@ayalamaldives.com,www.ayalamaldives.com,"Ayala Hotels Maldives Pvt Ltd 
M. G.E.K.A.M Building (7th Floor) 
Mohamed Ismail Didi Goalhi 
Male', Republic of Maldives","Owner of Sun Flower:
Ahmed Shiyam 
Shimlaa 
Gulhi Kaafu Atoll
Republic of Maldives 

Owner of White Snow:
Shiyama Adam 
Magumatheege 
Gulhi, Kaafu Atoll
Republic of Maldives"
56,Ayira Maldives,Fundhuni,Alifu Alifu,Feridhoo,,5,10,7973868,,info@ayiramaldives.com,ayiramaldives.com,"Amjad Majee
Fundhuni
Feridhoo, Alifu Alifu Atoll
Male', Republic of Maldives","Amjad Majee
Fundhuni
Feridhoo, Alifu Alifu Atoll
Male', Republic of Maldives"
57,Azoush Tourist Guesthouse,White Home & Diamond Villa,Baa,Fulhadhoo,,10,20,7976862 / 7776862,3327524,azoushtours@gmail.com,www.azoush.com,"Azoush Travels and Shipping Pvt. Ltd 
H. South Reef, 05th Floor
Male', Republic of Maldives","Ummu Haanee Aboobakuru
H. South Reef
Male', Republic of Maldives"
58,Babushkha Hospitality,"Green Wheel, Janavaree Magu",Alifu Alifu,Thoddoo,,10,20,7777733,,suntunaholidays@gmail.com,,"Sun Tuna Holidays Pvt Ltd 
G. Vaffushi 
Lonuziyaaraiy Magu
Male', Republic of Maldives","Hawwa Adam 
Kotharivilaage
Thoddoo, Alifu Alifu Atoll
Republic of Maldives"
59,Bahaari Lodge,"Aabahaaruge, Fithuroanu Magu",Kaafu,Kaashidhoo,,3,6,7794983,,ashraf7041@gmail.com,,"Bahaari Lodge (SP)
Ashraf Ibrahim
Aabahaaruge
Kaashidhoo, Kaafu Atoll
Republic of Maldives","Ashraf Ibrahim
Aabahaaruge
Kaashidhoo, Kaafu Atoll
Republic of Maldives"
60,Bahaaru Villa,"Bahaaru, Janavaree Magu",Kaafu,Himmafushi,,4,8,7849447 / 7727929,,book@bahaaruvilla.com,http://www.bahaaruvilla.com/,"Bahaaru Villa (SP) 
Hassan Rasheed Abdulla 
Kaamineege 
Bilehfahi, Shaviyani Atoll 
Republic of Maldives","Hassan Rasheed Abdulla 
Kaamineege 
Bilehfahi, Shaviyani Atoll 
Republic of Maldives"
61,Baivaru Guesthouse Services,Sosun Villa,Gaafu Alifu,Dhaandhoo,,3,6,"9784930
7785930",7929100,sales@baivaru.com,www.baivaru.com,"Mohamed Saeed 
Aabahaaruge
Dhaandhoo, Gaafu Alifu Atoll
Republic of Maldives","Mohamed Saeed 
Aabahaaruge
Dhaandhoo, Gaafu Alifu Atoll
Republic of Maldives"
62,Bambukeyo Villa,Husnuheena,Thaa,Gaadhiffushi,,6,12,7976646,3321615,rageeb1304@gmail.com,,"Rageeb Ali 
Dhaftharu no. 3052
Male', Republic of Maldives","1. Rageeb Ali 
Dhaftharu no: 3052
male', Rep of Maldives
2.Anwar Ali 
Husnoovaadhee
Th. Gaadhiffushi, Republic of Maldives
3.Aishath Riza 
Husnuheenaage
Th. Gaadhiffushi, Republic of Maldives
4. Balgees Ali 
Fathangumaage
Th. Thimarafushi, Republic of Maldives
5.Aminath Riya 
Husnuheenaage
Th. Gaadhiffushi, Republic of Maldives"
63,Banyan Villa,"Beach Villa, Manzaru Hingun",Alifu Dhaalu,Dhangethi,,5,10,"3339669
7770256",3343003,info@banyanvillamaldives.com,www.banyanvillamaldives.com,"Maahiya Pvt Ltd 
Maahiyaa
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives","Usamath Ismail 
Beach Villa
Dhangethi, Alifu Dhaalu Atoll
Republic of Maldives"
64,Batuta Maldives Surf View,Sun Rise,Kaafu,Thulusdhoo,,7,14,"7786160
9989900",,info@batutamaldives.com,,"Batuta Maldives Travel & Tours Pvt Ltd
G. Handhuvaree Gulshan, Lonuziyaaraiy Magu
Male', rep. of Maldives","Aminath Hudha 
Oidhuni, K. Thulushdoo
Male' Rep. of Maldives"
65,BB Island House,Hudhufas,Alifu Dhaalu,Dhigurah,,3,6,9739663,,bookings@boutiquebeach.club,www.boutiquebeach.club,"Boutique Beach Pvt Ltd 
Blue Heaven
Adh. Dhigurah
Republic of Maldives","Maumoon Abdul Raheem 
White Rose
Dhigurah, Alifu Dhaalu Atoll
Republic of Maldives"
66,Beach Albatross,"Hulhumale', Tho Residence 10053, Dhiggaa Magu",Kaafu,Male',Hulhumale’,15,30,7764313,,huley0@gmail.com,,"Leyli Pvt Ltd 
Hulhumale' Plot no 11049
Nirolhu Magu
Male', Republic of Maldives","Mohamed Atho Ali 
M. Yaagoothuge
Male', Republic of Maldives"
67,Beach Breeze and Spa,Hulhumale' Lot. no. 10104,Kaafu,Male',Hulhumale,8,16,7776360,,,,"Interworld Travel and Trading Pvt Ltd 
M. Dhilaasaa villa 
Male', Republic of Maldives","Aishath Ahmed Didi 
Hulhumale Lot. no. 10104
Male', Republic of Maldives"
68,Beach Grand and Spa Premium,Hulhumale' Lot No. 10076,Kaafu,Male',Hulhumale',10,20,"3351777
7774411",,info@beachgrand.mv,,"Eco Beach Holidays Maldives Pvt Ltd 
10095, Dhiggaamaage
Hulhumale'
Republic of Maldives","Abdul Wahid Thowfeeq
M. Areeka, Chanbeylee Hingun
Male', Republic of Maldives"
69,Beach Home Kelaa,"Dhuvaaru, Kalhu Hassan Magu",Haa Alifu,Kelaa,,7,14,7992882,,info@beachhomekelaa.com,http://www.beachhomekelaa.com/,"Dhuvaaru Mart (SP)
Moosa Khaleel 
Dhaftharu. No. 5061
Male', Republic of Maldives","Moosa Khaleel 
Dhaftharu. No. 5061
Male', Republic of Maldives"
70,Beach Home Vashafaru,"Vaadhee, Ameenee Magu",Haa Alifu,Vashafaru,,4,8,7785280,,welcoshippingtrading@gmail.com,,"Welco Shipping and Trading Company Pvt. Ltd. 
M. Elaasio, 2nd Floor
Handhuvaree Hingun
Male', Republic of Maldives","Fathmath Waheedha 
Vaadhee
Vashafaru, Haa Alifu Atoll
Republic of Maldives"
71,Beach House,"Beach House, Nikagas Magu",Alifu Dhaalu,Hangnaameedhoo,,3,6,9724410,9110300,visit.beachhouse@gmail.com,www.beachhousemv.com,"Ayathulla Khuminee
Shakeebaa Manzil
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives","Abdul Haseeb Saud 
Shakeeba Manzil
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives"
72,Beach House Dhiffushi,Kothari Villa,Kaafu,Dhiffushi,,6,12,7783683,,ibbrru@gmail.com,,"Raajje Beach House Pvt Ltd 
H. Magnolia 
Male', Republic of Maldives","Ibrahim Inaz 
Hudhuvilaage 
Dhiffushi, Kaafu Atoll 
Reoublic of Maldives"
73,Beach Palace,Hulhunale' Lot. No. 10824,Kaafu,Male',Hulhumale',13,26,3358898,,reservations@beachpalacemaldives.com,,"Beach Palace Company Pvt. Ltd 
Hulhumale' Lot no 10824
Male', Republic of Maldives","Shahudhan Fauzee 
Dhaftharu.No. RS 7552
Male',Republic of Maldives"
74,Beach Star Maldives,"Naares, Sosun Magu",Alifu Dhaalu,Hangnaameedhoo,,4,8,7638936,,beachstarmaldives@gmail.com,,"Beach Star Maldives (SP)
Hussain Waseem 
Raiyasurumaage
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives","Nasheeda Hassan 
Raiyasurumaage
Hangnaameedhoo, Alifu Dhaalu Atoll
Republic of Maldives"
75,Beach Stone,"Moon Fish, Dheyliyaa Magu",Kaafu,Gulhi,,8,16,7955002,,greatergomv@gmail.com,,"Greater Go Pvt Ltd 
White Rose
Gulhi, Kaafu Atoll
Republic of Maldives","Abdul Haseeb 
Happy Night
Gulhi, Kaafu Atoll
Republic of Maldives"
